,title,content,Workout Title,Category,Routine Link,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
35,Day 3: Fat Loss Leg Workout,"[['Squat or Trap Bar Deadlift', '5', '8-12'], ['Leg Press', '4', '15'], ['Rear Lunge', '3', '12-15'], ['Goblet Squat', '3', '10-12'], ['Leg Curl', '3', '10-15'], ['Seated Calf Raise', '3', '20-25'], ['Standing Calf Raise', '3', '15-20'], ['Plank', '3', '1 Min'], ['Barbell Rollout', '3', '8']]",The Fat Incinerator: 8 Week Fat Burning Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-fat-incinerator-workout,Lose Fat,Split,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male,"Whey Protein, BCAA Powder, Essential Fats (EFAs), Green Tea Extract"
36,Full Body Toning Workout 1,"[['45 Degree Leg Press', '3', '20'], ['Seated Row', '3', '20'], ['Chest Dip', '2', '15-20'], ['Machine Shoulder Press', '2', '20'], ['Cable Curl', '2', '20'], ['Tricep Extension', '2', '20'], ['Plank', '3', '1 minute']]",3 Day Full Body Toning Workout for Women,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,Lose Fat,Split,Intermediate,8 weeks,5,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Male & Female,
37,Full Body Toning Workout 2,"[['Smith Machine Squat', '3', '20'], ['Seated calf Raise', '2', '25'], ['Lat Pull Down', '3', '20'], ['Dumbbell Flys', '3', '20'], ['Tricep Kickback', '2', '20'], ['Standing Dumbbell Curl', '2', '20'], ['Decline Sit Ups', '2', 'MAX']]",3 Day Full Body Toning Workout for Women,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,Lose Fat,Split,Intermediate,8 weeks,5,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Male & Female,
38,Full Body Toning Workout 3,"[['Dumbbell Lunge', '4', '10 each leg'], ['Wide Grip Pull Up', '3', 'MAX'], ['Barbell Bench Press', '3', '15-20'], ['Standing Barbell Curl', '3', '15-20'], ['Tricep Bench Dip', '3', '15'], ['Horizontal Leg Raise', '2', 'MAX']]",3 Day Full Body Toning Workout for Women,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,Lose Fat,Split,Intermediate,8 weeks,5,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Male & Female,
39,Monday - Arms,"[['Barbell Curl', '4', '20, 15, 12, 10'], ['Dumbbell Curl', '3', '15, 12, 10'], ['Concentration Curl', '3', '15, 12, 10'], ['Lying Tricep Extension', '4', '15, 12, 10, 10'], ['Rope Pushdown', '3', '15, 12, 10'], ['Dumbbell Extension', '3', '15, 12, 10']]",Doug's 5 Day High Definition Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"ISOFLEX, AminoCuts, RapidCuts, Impact Igniter, VitaStack"
40,Tuesday - Legs,"[['Squats', '4', '20, 15, 12, 10'], ['Leg Press', '3', '15, 12, 10'], ['Leg Extension', '3', '20, 15, 12'], ['Leg Curl', '4', '20, 15, 12, 10'], ['Straight Leg Deadlifts', '3', '15, 12, 10'], ['Seated Calf Raise', '3', '15, 12, 10'], ['Standing Calf Raise', '3', '20, 15, 12']]",Doug's 5 Day High Definition Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"ISOFLEX, AminoCuts, RapidCuts, Impact Igniter, VitaStack"
41,Wednesday - Chest,"[['Incline Dumbbell Press', '4', '15, 12, 12, 10'], ['Flat Dumbbell Press', '3', '15, 12, 10'], ['Decline Dumbbell Press', '3', '15, 12, 10'], ['Cable Crossovers', '2', '12'], ['Incline Flys', '2', '12']]",Doug's 5 Day High Definition Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"ISOFLEX, AminoCuts, RapidCuts, Impact Igniter, VitaStack"
42,Thursday - Back,"[['Smith Machine Barbell Row', '4', '15, 12, 10, 10'], ['Bent Over Dumbbell Rows', '3', '15, 12, 10'], ['Wide Grip Pulldown', '3', '15, 12, 10'], ['Seated Rowing', '3', '15, 12, 10'], ['Hyper-Extension', '4', '15, 12, 10, 10']]",Doug's 5 Day High Definition Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"ISOFLEX, AminoCuts, RapidCuts, Impact Igniter, VitaStack"
43,Friday - Shoulders,"[['Dumbbell Press', '4', '15, 12, 10, 10'], ['Side Lateral Raises', '3', '15, 12, 10'], ['Dumbbell Rear Delt Fly', '3', '15, 12, 10'], ['Dumbbell Shrugs', '3', '15, 12, 10']]",Doug's 5 Day High Definition Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"ISOFLEX, AminoCuts, RapidCuts, Impact Igniter, VitaStack"
44,Monday: Upper Body Workout,"[['Single Arm Dumbbell Row', '4', '6-8 Each'], ['Incline Dumbbell Bench Press', '3', '8-12'], ['Lat Pull Down', '3', '8-12'], ['Cable Lateral Raise', '3', '8-12'], ['Incline Dumbbell Curl', '3', '12-15'], ['French Press', '3', '12-15']]",Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
45,Tuesday: Lower Body Workout,"[['Back Squat', '4', '6-8'], ['Dumbbell Lunge', '3', '6-8'], ['Hip Thrust', '3', '8-12'], ['Leg Curl', '3', '12-15'], ['Calf Raises', '5', '15-20']]",Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
46,Wednesday: Upper Body Workout,"[['Pull Up', '4', '6-8'], ['Decline Hammer Machine Press', '3', '8-12'], ['Cable Row', '3', '8-12'], ['Dumbbell Shoulder Press', '3', '8-12'], ['Preacher Curl', '3', '12-15'], ['Skull Crusher', '3', '12-15']]",Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
47,Thursday: Lower Body Workout,"[['Hack Squat', '3', '6-8'], ['Leg Extension', '3', '8-12'], ['Dumbbell RDLs', '3', '6-8'], ['Seated Leg Curls', '3', '8-12'], ['Calf Raises', '5', '15-20']]",Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
48,Saturday: Full Body Workout,"[['Trap Bar Deadlift', '4', '6-8'], ['Dips', '4', '8-12'], ['Lat Pull Down', '4', '8-12'], ['Machine Row', '3', '8-12'], ['Cable Curl', '3', '12-15']]",Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,Lose Fat,Full Body,Beginner,6 weeks,3,20-35 minutes,Bodyweight,Male & Female,"Whey Protein, Fish Oil, Multivitamin"
49,"Monday: Chest, Biceps, Forearms, & Abs","[['1. Incline Bench Press', '2/0/1', '2*', '7-9'], ['2. Dumbbell Bench Press', '2/0/1', '2*', '7-9'], ['3a. Incline Dumbbell Fly', '2/0/1', '2', '10-12'], ['3b. Cable Crossover', '1/0/1/1', '2', '10-12'], ['4. EZ Bar Preacher Curl', '2/0/1', '1*', '7-9'], ['5. Barbell Curl', '2/0/1', '1*', '7-9'], ['6a. High Cable Curl', '1/0/1', '2', '7-9'], ['6b. Standing Alternating Dumbbell Curl', '1/1/1', '2', '7-9'], ['7. Reverse Barbell Curl', '2/0/1', '1*', '10-12'], ['8a. Barbell Reverse Wrist Curl', '1/0/1', '1', '13-15'], ['8b. Barbell Wrist Curl', '1/0/1', '1', '13-15'], ['9. Cable Crunch', '1/0/1/1', '2', '16-20'], ['10a. Hanging Leg Raise', '1/0/1', '1', 'Max Reps'], ['10b. Seated Bench Knee Ups', '1/0/1', '1', 'Max Reps']]",Summer Burn: 12 Week Fat Melting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/summer-burn-12-week-fat-melting-workout,Build Muscle,Full Body,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,
50,"Tuesday: Quads, Hamstrings, & Calves","[['1. Barbell Back Squat', '2/0/1', '2*', '7-9'], ['2. Leg Press', '2/0/1', '2*', '7-9'], ['3a. Leg Extension', '2/0/1/1', '2', '10-12'], ['3b. Walking Barbell Lunge', '2/0/1', '2', '10-12 Each'], ['4. Lying Leg Curl', '2/0/1/1', '2*', '7-9'], ['5a. Adduction Machine', '1/0/1/1', '2', '16-20'], ['5b. Stiff Leg Deadlift', '2/0/1', '2', '10-12'], ['6. Standing Calf Raise', '1/1/1/1', '1*', '7-9'], ['7a. Seated Calf Raise', '1/0/1/1', '2', '7-9'], ['7b. Calf Press', '1/1/1', '2', '10-12']]",Summer Burn: 12 Week Fat Melting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/summer-burn-12-week-fat-melting-workout,Build Muscle,Full Body,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,
51,"Thursday: Lats, Lower Back, & Abs","[['1. Seated Cable Row', '1/0/1/1', '2*', '7-9'], ['2. Reverse Grip Bent Over Row', '1/0/1/1', '2*', '7-9'], ['3a. Dumbbell Pullover', '1/0/1', '2', '10-12'], ['3b. T-Bar Row', '1/0/1', '2', '7-9'], ['4. Weighted Hyperextension', '1/0/1/1', '1*', '13-15'], ['5a. Deadlift', '1/1/1', '1', '7-9'], ['5b. Bodyweight Hyperextensions', '1/0/1/1', '1', 'Max Reps'], ['6. Weighted Ab Crunch', '1/0/1/1', '1*', '16-20'], ['7a. Lying Leg Raise', '1/0/1/1', '2', 'Max Reps'], ['7b. Oblique Crunch', '1/0/1', '2', '16-20 Each']]",Summer Burn: 12 Week Fat Melting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/summer-burn-12-week-fat-melting-workout,Build Muscle,Full Body,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,
52,"Friday: Shoulders, Traps, Triceps, & Calves","[['1. Cable Face Pulls', '1/0/1/1', '2*', '10-12'], ['2. Lateral Raises', '1/0/1', '2*', '10-12'], ['3a. Seated Dumbbell Press', '2/0/1', '2', '7-9'], ['3b. Barbell Front Raise', '1/0/1', '2', '7-9'], ['4. Barbell Shrug', '1/0/1/1', '2*', '10-12'], ['5a. Upright Row', '1/0/1/1', '2', '7-9'], ['5b. Seated Dumbbell Shrug', '1/0/1/1', '2', '7-9'], ['6. Straight Bar Pushdown', '1/0/1/1', '1*', '10-12'], ['7. Skullcrusher', '2/0/1', '2*', '7-9'], ['8a. Seated One Arm Dumbbell Extrension', '2/0/1', '2', '7-9'], ['8b. Close Grip Bench Press', '3/0/1', '2', '7-9'], ['9. Seated Calf Raise', '1/0/1', '2*', '10-12'], ['10a. Calf Press', '1/0/1/1', '1', '7-9'], ['10b. Standing Calf Raise', '1/0/1/1', '1', '7-9']]",Summer Burn: 12 Week Fat Melting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/summer-burn-12-week-fat-melting-workout,Build Muscle,Full Body,Intermediate,12 weeks,5,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,
53,Return to Ripped Day 1: Chest and Shoulders,"[['Incline Dumbbell Fly', '3', '8-12', '1min'], ['Flat Barbell Bench Press', '3', '8-12', '1min'], ['Pushup with Band or Feet Elevated', '3', '10-12', '1min'], ['Barbell Front Raise', '3', '8-12', '45s'], ['Seated Lateral Raise', '3', '8-12', '45s'], ['Band Pull-Apart', '3', '10-12', '45s']]",Return to Ripped: 6 Week Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/return-to-ripped,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
54,Return to Ripped Day 2: Legs,"[['Deadlift', '4', '8-12', '1min'], ['Lying Leg Curl*', '3', '10-12', '1min'], ['Walking Lunge', '3', '12', '45s'], ['Goblet Squat', '3', '10-12', '1min'], ['Single Leg Squat', '3', '12', '45s'], ['Leg Extension*', '3', '12', '45s'], ['Seated Calf Raise', '3', '15', '45s'], ['Single Leg Standing Calf Raise', '3', '15', '45s'], ['*Machine, Bands, or Dumbbell Between Feet']]",Return to Ripped: 6 Week Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/return-to-ripped,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
55,Return to Ripped Day 3: Back and Abs,"[['Dumbbell or Barbell Pullover', '4', '8-12', '1min'], ['Two-Arm Dumbbell Row', '3', '8-12', '1min'], ['Single Arm Lat Pulldown*', '3', '10-12', '1min'], ['Dumbbell Reverse Fly', '3', '10-12', '45s'], ['Superman', '3', '10', '45s'], ['Lying Leg Raise', '3', '12', '45s'], ['Crunches', '3', '12', '45s'], ['Side Plank (each side)', '3', '20-30s', '45s'], ['*Machine or Band']]",Return to Ripped: 6 Week Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/return-to-ripped,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
56,Return to Ripped Day 4: Arms,"[['Barbell Curl', '3', '8-12', '45s'], ['Lying Tricep Extensions', '3', '8-12', '45s'], ['Hammer Curl', '3', '10-12', '45s'], ['Tricep Kickback', '3', '10-12', '45s'], ['Band or Cable Curl', '3', '12', '45s'], ['Cable or Band Pressdown*', '3', '12', '45s'], ['*Substitute Close Grip Pushup if you can’t do this exercise.']]",Return to Ripped: 6 Week Fat Loss Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/return-to-ripped,Lose Fat,Split,Intermediate,6 weeks,6,30-75 minutes,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball",Male & Female,"Whey Protein Isolate, BCAA 2:1:1, Citrulline Malate, Kre-Alkalyn"
57,Day 1: Every Minute On the Minute (EMOM),"[['Sprint', '15 Seconds', '*'], ['Burpees', '15', '*'], ['Squat Jumps', '15', '*'], ['Walking Lunges', '8 Per Leg', '*'], ['Frog Sit Up', '15', '*'], ['Pushups', '15', '*'], ['Mountain Climbers', '15 Per Leg', '*'], ['Arm Circles', '15 Seconds', '*'], ['Shadow Boxing Combination', '15 Seconds', '*'], ['*Rest for remainder of minute between exercises']]",Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary),https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Male & Female,
58,Day 2: Circuit Training,"[['Sprint', '15 Seconds'], ['Burpees', '15'], ['Squat Jumps', '15'], ['Walking Lunges', '8 Per Leg'], ['Frog Sit Up', '15'], ['Pushups', '15'], ['Mountain Climbers', '15 Per Leg'], ['Arm Circles', '15 Seconds'], ['Shadow Boxing Combination', '15 Seconds']]",Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary),https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,Lose Fat,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Male & Female,
59,5 Minute Ripped Solution,"[['0-30', 'Jump Squats', '10'], ['30-90', 'Walk Around/Recover', '2-3'], ['90-120', 'Burpees', '10'], ['120-180', 'Walk Around/Recover', '2-3'], ['180-210', 'Mountain Climbers', '10'], ['210-270', 'Walk Around/Recover', '2-3'], ['270-300', 'Jumping Lunges', '10']]",The Ripped Freak Training Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/ripped-freak-training-program,Lose Fat,Split,Advanced,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Fish Oil"
60,Workouts,"[['1A. Incline Dumbbell Press', '3-4', '6-8'], ['1B. Chin-Ups', '3-4', '6-8'], ['2A. Flat Dumbbell Fly', '2-3', '10-12'], ['2B. Lat Pulldowns', '2-3', '10-12'], ['3A. Seated Cable Rows', '2-3', '10-12'], ['3B. Push-Ups', '1', 'Max']]",The Ripped Freak Training Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/ripped-freak-training-program,Lose Fat,Split,Advanced,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Fish Oil"
61,Workouts,"[['1A. Barbell Squats', '3-4', '6-8'], ['1B. Dumbbell Lunges', '3-4', '6-8'], ['2A. Lying Hamstring Curls', '2-3', '10-12'], ['2B. Leg Press', '2-3', '10-12'], ['2C. Standing Calf Raises', '2-3', '12-15']]",The Ripped Freak Training Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/ripped-freak-training-program,Lose Fat,Split,Advanced,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Fish Oil"
62,Workouts,"[['1A. Dumbbell Shoulder Press', '3-4', '6-8'], ['1B. Lateral Dumbbell Raise', '3-4', '6-8'], ['2A. Triceps Pushdown', '2-3', '10-12'], ['2B. Barbell Curl', '2-3', '10-12'], ['3A. Dips', '2-3', '12-15'], ['3B. Alternating Dumbbell Curls', '2-3', '12-15']]",The Ripped Freak Training Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/ripped-freak-training-program,Lose Fat,Split,Advanced,12 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Fish Oil"
63,Monday - Shoulders,"[['Dumbbell Press', '8', '8'], ['Dumbbell Side Laterals', '8', '8'], ['Rear Delt Fly', '8', '8'], ['Barbell Upright Row', '8', '8']]",5 Day Super Shredding Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Male & Female,
64,Tuesday - Arms,"[['Barbell Preacher Curl', '8', '8'], ['Seated Dumbbell Curl (alternate arms)', '8', '8'], ['EZ Bar Close Grip Bench', '8', '8'], ['Seated Dumbbell Extension (2 arm)', '8', '8']]",5 Day Super Shredding Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Male & Female,
65,Wednesday - Legs,"[['Hack Squats', '8', '8'], ['Leg Extension', '8', '8'], ['Leg Curl', '8', '8'], ['Dumbbell Stiff Leg Deadlifts', '8', '8'], ['Seated Calf Raise', '8', '8']]",5 Day Super Shredding Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Male & Female,
66,Thursday - Back,"[['Barbell Rows', '8', '8'], ['Lat Pull Down', '8', '8'], ['V-Bar Pull Down', '8', '8'], ['Hyper Extension', '8', '8']]",5 Day Super Shredding Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Male & Female,
67,Friday - Chest,"[['Flat Dumbbell Press', '8', '8'], ['Incline Dumbbell Press', '8', '8'], ['Incline Flys', '8', '8'], ['Cable Crossover', '8', '8']]",5 Day Super Shredding Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Male & Female,
68,Abs (After Every Workout),"[['Weighted Crunches*', '8', '8'], ['Machine Seated Knee Raises**', '8', '8'], ['Machine Twisting Crunches*', '8', '8']]",5 Day Super Shredding Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells",Male & Female,
69,Day 1: Chest & Triceps,"[['Flat Dumbbell Bench', '4', '15', '1 min'], ['Incline Dumbbell Bench', '4', '12', '1 min'], ['Narrow Push Up', '4', '12', '1 min'], ['Dumbbell Kickbacks', '4', '12', '1 min'], ['Dumbbell Pec Fly', '4', '12', '1 min'], ['Bench Dips', '4', '15', '1 min'], ['Glute Bridge Single-Arm Kettlebell Bench Press', '4', '12', '1 min']]",6 Week High-Intensity Functional Training Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workout/6-week-high-intensity-functional-training-workout,Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Pre-Workout (optional), BCAAs (optional)"
70,Day 2: HIFT,"[['Wall Balls', '85%', '20'], ['Kettlebell Swings', '85%', '15'], ['Run', '65-75%', '400 meters']]",6 Week High-Intensity Functional Training Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workout/6-week-high-intensity-functional-training-workout,Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein Powder, Pre-Workout (optional), BCAAs (optional)"
